id,cnpj,nome,address,valorMensalidade,administradorEmail
1,63.708.295/0001-75,Pereira S.A.,"Quadra Luna das Neves, 26
Independência
89098456 da Mata das Flores / RO",466,sophia@bol.com.br
2,84.501.392/0001-62,Moraes - ME,"Avenida de Campos, 68
Corumbiara
25618315 Almeida / PE",250,luiz@yahoo.com.br
3,62.180.439/0001-09,Rezende S/A,"Parque de Nascimento, 41
Outro
01637-395 Nogueira / RJ",250,luiza@yahoo.com.br
4,47.380.562/0001-71,Fogaça Teixeira - EI,"Trevo Gonçalves
Luxemburgo
45084-315 Viana / RS",826,sophia@bol.com.br
5,34.719.258/0001-64,da Mota Peixoto - EI,"Condomínio da Mata, 135
Vila Piratininga
58737905 Ferreira / ES",250,luiz@yahoo.com.br
6,61.539.407/0001-86,Almeida,"Núcleo Lorenzo da Costa, 54
Independência
54932-039 Monteiro das Pedras / PR",250,luiza@yahoo.com.br
7,56.427.391/0001-80,Teixeira Viana - EI,"Favela Costa, 44
Nova Esperança
84483-530 Barros Grande / MA",250,sophia@bol.com.br
8,59.086.413/0001-83,Oliveira,"Estação Gustavo da Costa
Jardim São José
43150314 Cardoso / AM",482,luiz@yahoo.com.br
9,79.245.138/0001-00,Melo,"Favela Ana Carolina Aragão, 7
Ouro Minas
64985977 da Costa dos Dourados / TO",250,luiza@yahoo.com.br
10,95.201.368/0001-24,Mendes Ltda.,"Vila Viana, 77
Conjunto Capitão Eduardo
68481-652 Viana / DF",377,sophia@bol.com.br
11,07.645.839/0001-26,Costela - EI,"Distrito Benjamin Vieira, 761
Vila Santa Monica 1ª Seção
62973-516 Santos da Mata / RO",529,luiz@yahoo.com.br
12,59.140.632/0001-01,Fernandes,"Trecho de da Costa, 7
Vila São Rafael
12249521 Moreira de Fernandes / TO",438,luiza@yahoo.com.br
13,50.916.278/0001-81,Oliveira Jesus e Filhos,"Chácara Castro, 29
Primeiro De Maio
48032-369 da Mata dos Dourados / AM",833,sophia@bol.com.br
14,94.061.723/0001-44,Moura,"Avenida de Monteiro, 7
Vila Esplanada
30083-882 da Costa / DF",691,luiz@yahoo.com.br
15,91.208.356/0001-70,Alves,"Praia Renan Cavalcanti, 329
Nossa Senhora Da Aparecida
22275-516 da Cruz do Sul / DF",250,luiza@yahoo.com.br
